# =========================================================================
#		  GRAMPA: MUL-tree reconciliation
#			08.11.2017 | 10:19:13
# LOG 10.19.13: Number of processes:                                       11
# LOG 10.19.18: The input species tree with internal nodes labeled:        ((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>
# LOG 10.19.18: Input species tree is:                                     Singly-labeled
# LOG 10.19.18: No H1 node defined                                         Searching all possible H1 nodes.
# LOG 10.19.18: No H2 node defined                                         Searching all possible H2 nodes.
# LOG 10.19.18: Using gene trees in file:                                  /N/dc2/scratch/grthomas/i5k/chelicerata-all/chelicerata-all-grampa/chelicerata-gt-final.txt
# LOG 10.19.18: Total gene trees:                                          8678
# LOG 10.19.18: Main results and logs will be written to file:             chel-grampa-all/grampa_out.txt
# LOG 10.19.18: The number of groups for each tree will be calculated:     chel-grampa-all/grampa_checknums.txt
# LOG 10.19.18: Filtered trees will be saved (if necessary):               chel-grampa-all/grampa_trees_filtered.txt
# LOG 10.19.18: Filtering gene trees with # of polyploid groups over:      8
# LOG 10.19.18: Detailed results will be written to file:                  chel-grampa-all/grampa_det.txt
# LOG 10.19.18: Detailed output will contain:                              Reconciliation scores only
# LOG 10.26.15: Filtered trees:                                            659
# LOG 10.26.15: Final tree count for reconciliations:                      8019
# ---------
# Tree #	H1 node	H2 node	Tree string	Total score
ST		((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>	105581
MT-54	LRECL	ISCAP	((CSCUL,(LRECL+,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,(ISCAP,LRECL*)<5>)<6>,TURTI)<7>)<8>	110551
MT-55	PTEPI	TURTI	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,(TURTI,PTEPI*)<6>)<7>)<8>	107200
MT-56	PTEPI	LHESP	((CSCUL,(LRECL,(SMIMO,((LHESP,PTEPI*)<1>,PTEPI+)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	110952
MT-57	PTEPI	<3>	((CSCUL,((LRECL,(SMIMO,(LHESP,PTEPI+)<1>)<2>)<3>,PTEPI*)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	109262
MT-58	PTEPI	LRECL	((CSCUL,((LRECL,PTEPI*)<1>,(SMIMO,(LHESP,PTEPI+)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	106904
MT-59	PTEPI	PTEPI	((CSCUL,(LRECL,(SMIMO,(LHESP,(PTEPI+,PTEPI*)<1>)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	113733
MT-60	PTEPI	<2>	((CSCUL,(LRECL,((SMIMO,(LHESP,PTEPI+)<1>)<2>,PTEPI*)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	109281
MT-61	PTEPI	<1>	((CSCUL,(LRECL,(SMIMO,((LHESP,PTEPI+)<1>,PTEPI*)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	110952
MT-62	PTEPI	<7>	(((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>,PTEPI*)<8>	109328
MT-63	PTEPI	CSCUL	(((CSCUL,PTEPI*)<1>,(LRECL,(SMIMO,(LHESP,PTEPI+)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	110311
MT-64	PTEPI	MOCCI	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,PTEPI*)<5>,ISCAP)<6>,TURTI)<7>)<8>	108753
MT-65	PTEPI	<6>	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,TURTI)<6>,PTEPI*)<7>)<8>	114087
MT-66	PTEPI	SMIMO	((CSCUL,(LRECL,((SMIMO,PTEPI*)<1>,(LHESP,PTEPI+)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	109793
MT-67	PTEPI	<4>	(((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI+)<1>)<2>)<3>)<4>,PTEPI*)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	113585
MT-68	PTEPI	<5>	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,PTEPI*)<6>,TURTI)<7>)<8>	112057
MT-69	PTEPI	ISCAP	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI,(ISCAP,PTEPI*)<5>)<6>,TURTI)<7>)<8>	109669
MT-70	<2>	TURTI	((CSCUL,(LRECL,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,(TURTI,(SMIMO*,(LHESP*,PTEPI*)<6>)<7>)<8>)<9>)<10>	103891
MT-71	<2>	<3>	((CSCUL,((LRECL,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>,(SMIMO*,(LHESP*,PTEPI*)<4>)<5>)<6>)<7>,((MOCCI,ISCAP)<8>,TURTI)<9>)<10>	107744
MT-72	<2>	LRECL	((CSCUL,((LRECL,(SMIMO*,(LHESP*,PTEPI*)<1>)<2>)<3>,(SMIMO+,(LHESP+,PTEPI+)<4>)<5>)<6>)<7>,((MOCCI,ISCAP)<8>,TURTI)<9>)<10>	107744
MT-73	<2>	<2>	((CSCUL,(LRECL,((SMIMO+,(LHESP+,PTEPI+)<1>)<2>,(SMIMO*,(LHESP*,PTEPI*)<3>)<4>)<5>)<6>)<7>,((MOCCI,ISCAP)<8>,TURTI)<9>)<10>	116685
MT-74	<2>	<7>	(((CSCUL,(LRECL,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>,(SMIMO*,(LHESP*,PTEPI*)<8>)<9>)<10>	103401
MT-75	<2>	CSCUL	(((CSCUL,(SMIMO*,(LHESP*,PTEPI*)<1>)<2>)<3>,(LRECL,(SMIMO+,(LHESP+,PTEPI+)<4>)<5>)<6>)<7>,((MOCCI,ISCAP)<8>,TURTI)<9>)<10>	109406
MT-76	<2>	MOCCI	((CSCUL,(LRECL,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,(SMIMO*,(LHESP*,PTEPI*)<5>)<6>)<7>,ISCAP)<8>,TURTI)<9>)<10>	106000
MT-77	<2>	<6>	((CSCUL,(LRECL,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,TURTI)<6>,(SMIMO*,(LHESP*,PTEPI*)<7>)<8>)<9>)<10>	108262
MT-78	<2>	<4>	(((CSCUL,(LRECL,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,(SMIMO*,(LHESP*,PTEPI*)<5>)<6>)<7>,((MOCCI,ISCAP)<8>,TURTI)<9>)<10>	107497
